step,train_loss,val_loss,lr,grad_norm,elapsed_s,tokens
0,6.928954,6.899923,0.00002000,2.325844,10.7,4096
1,6.918716,,0.00004000,2.307816,14.1,8192
2,6.889577,,0.00006000,2.315158,15.9,12288
3,6.863402,,0.00008000,2.327065,17.2,16384
4,6.811646,,0.00010000,2.131301,18.9,20480
5,6.769729,,0.00012000,1.740242,20.8,24576
6,6.748200,,0.00014000,1.374819,22.2,28672
7,6.683247,,0.00016000,1.299549,23.6,32768
8,6.661930,,0.00018000,1.185232,24.9,36864
9,6.644001,,0.00020000,1.099830,26.3,40960
10,6.601591,,0.00022000,1.189017,27.8,45056
11,6.585640,,0.00024000,1.150222,29.2,49152
12,6.571324,,0.00026000,1.110454,30.6,53248
13,6.538261,,0.00028000,1.156104,32.1,57344
14,6.516377,,0.00030000,1.128017,33.7,61440
15,6.485722,,0.00032000,1.101177,35.1,65536
16,6.432111,,0.00034000,1.215458,36.8,69632
17,6.405087,,0.00036000,1.143334,38.4,73728
18,6.390256,,0.00038000,1.093733,39.7,77824
19,6.351849,,0.00040000,1.100794,41.1,81920
20,6.311751,,0.00042000,1.056004,42.5,86016
21,6.284591,,0.00044000,1.044773,43.9,90112
22,6.230860,,0.00046000,1.037225,45.3,94208
23,6.171090,,0.00048000,1.097390,46.6,98304
24,6.125293,,0.00050000,1.082512,48.5,102400
25,6.119324,,0.00052000,1.001390,50.4,106496
26,6.094413,,0.00054000,1.037236,51.9,110592
27,6.034698,,0.00056000,1.024205,53.3,114688
28,5.981284,,0.00058000,1.038976,54.8,118784
29,5.995484,,0.00060000,0.905351,56.2,122880
30,5.972201,,0.00062000,0.870377,57.5,126976
31,5.908013,,0.00064000,0.933822,59.1,131072
32,5.895260,,0.00066000,0.829808,60.4,135168
33,5.827873,,0.00068000,0.893576,62.0,139264
34,5.838593,,0.00070000,0.797254,63.8,143360
35,5.810800,,0.00072000,0.920110,65.3,147456
36,5.800167,,0.00074000,1.094550,66.9,151552
37,5.756886,,0.00076000,0.778337,68.2,155648
38,5.762132,,0.00078000,0.874854,69.6,159744
39,5.777003,,0.00080000,0.660436,71.1,163840
40,5.759901,,0.00082000,0.700249,72.4,167936
41,5.688056,,0.00084000,0.704421,73.9,172032
42,5.684781,,0.00086000,0.647987,75.6,176128
43,5.678089,,0.00088000,0.654014,76.9,180224
44,5.651847,,0.00090000,0.640305,78.2,184320
45,5.655604,,0.00092000,0.605761,79.7,188416
